hours_studied,attendance,parental_involvement,access_to_resources,extracurricular_activities,sleep_hours,previous_scores,motivation_level,internet_access,tutoring_sessions,family_income,teacher_quality,school_type,peer_influence,physical_activity,learning_disabilities,parental_education_level,distance_from_home,gender,exam_score,gender_Female,gender_Male,school_type_Private,school_type_Public,peer_influence_Negative,peer_influence_Neutral,peer_influence_Positive,internet_access_No,internet_access_Yes,parental_involvement_encoded,access_to_resources_encoded,motivation_level_encoded,family_income_encoded,teacher_quality_encoded,study_level,attendance_level,sleep_category,hours_studied_scaled,attendance_scaled,sleep_hours_scaled,previous_scores_scaled,tutoring_sessions_scaled,study_effort,learning_efficiency,activity_study_balance,tutoring_study_impact
24,60,Low,Medium,No,6,62,High,Yes,4,Low,High,Public,Negative,3,No,High School,Near,Female,63,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,2,0,2,High,Poor,Normal Sleep,0.6718824858433398,-1.7301583453437241,-0.7009902556898064,-0.9077580740998723,2.0368366276453838,1440,1488,72,96
20,81,Medium,Medium,Yes,5,60,Low,Yes,3,Medium,Medium,Public,Positive,4,Yes,High School,Near,Male,66,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,1,1,Medium,Average,Low Sleep,0.0041185681317912485,0.08855868794949777,-1.3821849342223185,-1.046659555058633,1.2241438564120333,1620,1200,80,60
21,84,Medium,Medium,No,6,75,Low,No,1,High,Medium,Public,Positive,3,No,College,Moderate,Male,67,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,0,2,1,High,Average,Normal Sleep,0.17105954755967837,0.34837540699138664,-0.7009902556898064,-0.0048984478679264375,-0.40124168605466753,1764,1575,63,21
28,99,Medium,Medium,Yes,6,61,Medium,No,1,Low,Medium,Public,Positive,3,No,High School,Near,Male,71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1,1,0,1,High,Good,Normal Sleep,1.3396464035548883,1.6474590022008309,-0.7009902556898064,-0.9772088145792527,-0.40124168605466753,2772,1708,84,28
16,84,Medium,High,Yes,7,86,Medium,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Near,Female,67,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,1,0,1,Medium,Average,Normal Sleep,-0.6636453495797573,0.34837540699138664,-0.01979557715729433,0.7590596974052585,-0.40124168605466753,1344,1376,32,16
23,79,Medium,High,Yes,6,97,Medium,Yes,1,High,Low,Public,Neutral,4,No,High School,Moderate,Male,69,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,2,1,2,0,High,Average,Normal Sleep,0.5049415064154527,-0.08465245807842814,-0.7009902556898064,1.5230178426784435,-0.40124168605466753,1817,2231,92,23
19,83,Medium,Medium,Yes,7,70,Medium,Yes,2,Low,Medium,Public,Negative,4,Yes,Postgraduate,Near,Female,67,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0,1,Medium,Average,Normal Sleep,-0.16282241129609587,0.26176983397742365,-0.01979557715729433,-0.35215215026482866,0.41145108517868284,1577,1330,76,38
19,97,High,Medium,Yes,6,66,High,Yes,2,Medium,Medium,Private,Positive,2,No,College,Moderate,Female,72,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2,1,2,1,1,Medium,Good,Normal Sleep,-0.16282241129609587,1.474247856172905,-0.7009902556898064,-0.6299551121823505,0.41145108517868284,1843,1254,38,38
27,93,High,Low,No,6,59,High,Yes,2,Low,Medium,Private,Negative,4,No,High School,Near,Female,70,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,0,2,0,1,High,Good,Normal Sleep,1.1727054241270012,1.1278255641170531,-0.7009902556898064,-1.1161102955380136,0.41145108517868284,2511,1593,108,54
25,73,Medium,High,Yes,7,70,Low,Yes,0,Low,Medium,Private,Neutral,4,No,Postgraduate,Moderate,Male,67,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,0,0,1,High,Average,Normal Sleep,0.8388234652712269,-0.6042858961622058,-0.01979557715729433,-0.35215215026482866,-1.213934457288018,1825,1750,100,0
25,69,Low,High,Yes,7,78,Medium,Yes,0,Low,High,Public,Negative,3,No,High School,Far,Female,64,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,2,1,0,2,High,Poor,Normal Sleep,0.8388234652712269,-0.9507081882180577,-0.01979557715729433,0.2034537735702149,-1.213934457288018,1725,1950,75,0
28,71,Medium,Medium,No,8,69,High,Yes,1,Medium,High,Private,Neutral,1,No,College,Moderate,Female,67,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1,2,1,2,High,Average,Healthy Sleep,1.3396464035548883,-0.7774970421901317,0.6613991013752177,-0.42160289074420915,-0.40124168605466753,1988,1932,28,28
20,80,Low,High,No,8,81,Medium,Yes,3,Medium,Medium,Private,Negative,4,No,Postgraduate,Near,Male,69,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0,2,1,1,1,Medium,Average,Healthy Sleep,0.0041185681317912485,0.0019531149355348125,0.6613991013752177,0.41180599500835624,1.2241438564120333,1600,1620,80,60
24,90,Low,Low,No,7,83,Medium,Yes,0,Low,Medium,Private,Positive,3,No,College,Unknown,Male,68,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,1,0,1,High,Good,Normal Sleep,0.6718824858433398,0.8680088450751643,-0.01979557715729433,0.5507074759671171,-1.213934457288018,2160,1992,72,0
18,80,Medium,Medium,No,8,55,Low,Yes,2,Low,Low,Public,Neutral,3,No,High School,Moderate,Male,63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,0,0,Medium,Average,Healthy Sleep,-0.329763390723983,0.0019531149355348125,0.6613991013752177,-1.3939132574555355,0.41145108517868284,1440,990,54,36
22,63,Medium,High,Yes,7,85,Medium,Yes,4,High,High,Public,Negative,3,No,College,Near,Female,68,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2,1,2,2,High,Poor,Normal Sleep,0.3380005269875655,-1.4703416263018354,-0.01979557715729433,0.6896089569258781,2.0368366276453838,1386,1870,66,88
19,89,High,Medium,Yes,7,95,Medium,Yes,0,Medium,Medium,Public,Positive,3,No,High School,Near,Male,70,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,1,1,Medium,Good,Normal Sleep,-0.16282241129609587,0.7814032720612014,-0.01979557715729433,1.3841163617196826,-1.213934457288018,1691,1805,57,0
21,92,Medium,Low,Yes,8,51,Low,Yes,0,Medium,Medium,Public,Neutral,2,No,College,Moderate,Male,66,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,0,0,1,1,High,Good,Healthy Sleep,0.17105954755967837,1.0412199911030902,0.6613991013752177,-1.6717162193730573,-1.213934457288018,1932,1071,42,0
24,72,High,High,No,6,78,High,Yes,0,Low,High,Public,Negative,6,No,High School,Near,Female,68,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2,2,0,2,High,Average,Normal Sleep,0.6718824858433398,-0.6908914691761688,-0.7009902556898064,0.2034537735702149,-1.213934457288018,1728,1872,144,0
15,87,High,Low,Yes,4,80,High,Yes,0,Low,Medium,Private,Positive,3,No,College,Near,Male,67,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2,0,2,0,1,Medium,Good,Low Sleep,-0.8305863290076444,0.6081921260332754,-2.0633796127548307,0.3423552545289758,-1.213934457288018,1305,1200,45,0
33,77,Low,High,Yes,5,85,Medium,Yes,0,Low,Medium,Private,Neutral,5,No,High School,Far,Female,69,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,2,1,0,1,High,Average,Low Sleep,2.174351300694324,-0.25786360410635406,-1.3821849342223185,0.6896089569258781,-1.213934457288018,2541,2805,165,0
14,96,Medium,Low,Yes,9,69,High,Yes,0,Medium,Medium,Private,Negative,3,Yes,College,Near,Female,66,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,2,1,1,Medium,Good,Healthy Sleep,-0.9975273084355315,1.3876422831589421,1.3425937799077299,-0.42160289074420915,-1.213934457288018,1344,966,42,0
13,94,Medium,Medium,Yes,7,91,Low,Yes,3,Low,Medium,Public,Neutral,3,No,High School,Near,Male,68,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,0,1,Medium,Good,Normal Sleep,-1.1644682878634187,1.2144311371310161,-0.01979557715729433,1.1063133998021608,1.2241438564120333,1222,1183,39,39
27,81,Medium,Medium,Yes,7,77,Medium,Yes,2,Medium,Low,Public,Neutral,2,Yes,Postgraduate,Moderate,Female,69,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,0,High,Average,Normal Sleep,1.1727054241270012,0.08855868794949777,-0.01979557715729433,0.13400303309083447,0.41145108517868284,2187,2079,54,54
25,88,Medium,Medium,Yes,7,70,Low,Yes,1,Medium,Medium,Private,Positive,3,No,Postgraduate,Moderate,Male,70,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,1,1,High,Good,Normal Sleep,0.8388234652712269,0.6947976990472384,-0.01979557715729433,-0.35215215026482866,-0.40124168605466753,2200,1750,75,25
24,95,Medium,High,Yes,8,86,High,Yes,1,Medium,High,Private,Neutral,3,No,College,Near,Male,74,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1,2,2,1,2,High,Good,Healthy Sleep,0.6718824858433398,1.3010367101449791,0.6613991013752177,0.7590596974052585,-0.40124168605466753,2280,2064,72,24
24,80,Medium,High,Yes,7,96,High,Yes,0,Low,High,Public,Positive,0,No,College,Moderate,Female,70,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,2,0,2,High,Average,Normal Sleep,0.6718824858433398,0.0019531149355348125,-0.01979557715729433,1.453567102199063,-1.213934457288018,1920,2304,0,0
20,73,Medium,Medium,Yes,7,91,Low,Yes,1,Medium,High,Public,Neutral,2,No,Postgraduate,Moderate,Male,66,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,2,Medium,Average,Normal Sleep,0.0041185681317912485,-0.6042858961622058,-0.01979557715729433,1.1063133998021608,-0.40124168605466753,1460,1820,40,20
15,90,High,Medium,Yes,8,97,Medium,Yes,1,Low,High,Private,Negative,3,No,College,Near,Female,69,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,0,2,Medium,Good,Healthy Sleep,-0.8305863290076444,0.8680088450751643,0.6613991013752177,1.5230178426784435,-0.40124168605466753,1350,1455,45,15
20,69,Medium,High,No,6,63,Low,Yes,0,Low,Medium,Public,Negative,3,No,Postgraduate,Near,Male,64,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2,0,0,1,Medium,Poor,Normal Sleep,0.0041185681317912485,-0.9507081882180577,-0.7009902556898064,-0.8383073336204918,-1.213934457288018,1380,1260,60,0
16,76,Low,High,Yes,8,56,Medium,No,1,Low,Medium,Public,Positive,1,No,High School,Near,Male,62,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,2,1,0,1,Medium,Average,Healthy Sleep,-0.6636453495797573,-0.344469177120317,0.6613991013752177,-1.324462516976155,-0.40124168605466753,1216,896,16,16
26,95,Low,High,No,7,77,Medium,Yes,0,Medium,Medium,Public,Neutral,3,No,High School,Moderate,Female,70,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0,2,1,1,1,High,Good,Normal Sleep,1.005764444699114,1.3010367101449791,-0.01979557715729433,0.13400303309083447,-1.213934457288018,2470,2002,78,0
19,89,High,Medium,Yes,7,52,Medium,Yes,2,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,68,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,Medium,Good,Normal Sleep,-0.16282241129609587,0.7814032720612014,-0.01979557715729433,-1.6022654788936768,0.41145108517868284,1691,988,76,38
15,76,Medium,Medium,Yes,6,84,Low,Yes,0,Medium,High,Public,Neutral,3,No,College,Near,Female,65,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,0,1,2,Medium,Average,Normal Sleep,-0.8305863290076444,-0.344469177120317,-0.7009902556898064,0.6201582164464976,-1.213934457288018,1140,1260,45,0
18,69,High,High,No,7,62,Low,Yes,3,Medium,Medium,Public,Positive,3,No,High School,Moderate,Male,65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,2,0,1,1,Medium,Poor,Normal Sleep,-0.329763390723983,-0.9507081882180577,-0.01979557715729433,-0.9077580740998723,1.2241438564120333,1242,1116,54,54
22,74,High,High,Yes,6,73,Low,Yes,3,High,High,Public,Positive,4,No,Postgraduate,Moderate,Female,71,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,2,0,2,2,High,Average,Normal Sleep,0.3380005269875655,-0.5176803231482429,-0.7009902556898064,-0.14379992882668732,1.2241438564120333,1628,1606,88,66
17,71,High,Medium,Yes,9,83,Low,Yes,2,Medium,Medium,Public,Neutral,5,No,High School,Near,Male,66,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,0,1,1,Medium,Average,Healthy Sleep,-0.49670437015187013,-0.7774970421901317,1.3425937799077299,0.5507074759671171,0.41145108517868284,1207,1411,85,34
15,67,Medium,Medium,No,4,74,Medium,Yes,0,Low,Medium,Public,Negative,3,No,College,Moderate,Male,61,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,1,0,1,Medium,Poor,Low Sleep,-0.8305863290076444,-1.1239193342459837,-2.0633796127548307,-0.07434918834730689,-1.213934457288018,1005,1110,45,0
21,90,Low,Medium,Yes,8,62,Low,Yes,2,Medium,High,Public,Negative,5,Yes,High School,Near,Male,67,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,0,1,2,High,Good,Healthy Sleep,0.17105954755967837,0.8680088450751643,0.6613991013752177,-0.9077580740998723,0.41145108517868284,1890,1302,105,42
21,70,Low,High,Yes,4,94,Medium,Yes,0,Low,High,Private,Neutral,2,No,College,Far,Male,65,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,2,1,0,2,High,Poor,Low Sleep,0.17105954755967837,-0.8641026152040947,-2.0633796127548307,1.314665621240302,-1.213934457288018,1470,1974,42,0
17,78,Medium,High,No,8,88,Medium,Yes,0,Low,Medium,Public,Negative,3,No,High School,Near,Female,65,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2,1,0,1,Medium,Average,Healthy Sleep,-0.49670437015187013,-0.1712580310923911,0.6613991013752177,0.8979611783640193,-1.213934457288018,1326,1496,51,0
17,75,Medium,High,Yes,6,80,Medium,No,1,Low,Medium,Private,Positive,5,No,High School,Moderate,Male,65,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,2,1,0,1,Medium,Average,Normal Sleep,-0.49670437015187013,-0.4310747501342799,-0.7009902556898064,0.3423552545289758,-0.40124168605466753,1275,1360,85,17
21,99,Medium,Medium,No,8,85,High,Yes,4,Medium,Medium,Public,Positive,4,No,High School,Moderate,Male,73,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,2,1,1,High,Good,Healthy Sleep,0.17105954755967837,1.6474590022008309,0.6613991013752177,0.6896089569258781,2.0368366276453838,2079,1785,84,84
11,76,Medium,Medium,Yes,7,71,Medium,No,1,Medium,Low,Public,Neutral,2,No,College,Near,Male,62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,1,1,0,Medium,Average,Normal Sleep,-1.498350246719193,-0.344469177120317,-0.01979557715729433,-0.2827014097854482,-0.40124168605466753,836,781,22,11
12,63,Medium,High,Yes,5,69,Low,Yes,0,Medium,High,Public,Negative,2,No,College,Moderate,Female,60,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,2,0,1,2,Medium,Poor,Low Sleep,-1.3314092672913058,-1.4703416263018354,-1.3821849342223185,-0.42160289074420915,-1.213934457288018,756,828,24,0
16,64,Low,Medium,Yes,9,58,Low,Yes,1,Medium,Medium,Public,Positive,3,No,College,Moderate,Female,61,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0,1,1,Medium,Poor,Healthy Sleep,-0.6636453495797573,-1.3837360532878724,1.3425937799077299,-1.185561036017394,-0.40124168605466753,1024,928,48,16
19,84,Low,Medium,Yes,8,90,High,Yes,2,Low,Medium,Private,Neutral,3,No,Postgraduate,Far,Male,67,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1,2,0,1,Medium,Average,Healthy Sleep,-0.16282241129609587,0.34837540699138664,0.6613991013752177,1.0368626593227803,0.41145108517868284,1596,1710,57,38
22,84,High,Medium,No,8,69,Medium,No,3,Medium,High,Private,Neutral,4,No,College,Near,Male,70,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2,1,1,1,2,High,Average,Healthy Sleep,0.3380005269875655,0.34837540699138664,0.6613991013752177,-0.42160289074420915,1.2241438564120333,1848,1518,88,66
29,77,Low,High,No,6,85,Medium,Yes,1,Medium,Medium,Public,Positive,1,No,College,Near,Male,69,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,2,1,1,1,High,Average,Normal Sleep,1.5065873829827754,-0.25786360410635406,-0.7009902556898064,0.6896089569258781,-0.40124168605466753,2233,2465,29,29
25,77,Medium,Low,Yes,8,65,High,No,0,Medium,Medium,Public,Positive,5,No,College,Far,Female,66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,0,2,1,1,High,Average,Healthy Sleep,0.8388234652712269,-0.25786360410635406,0.6613991013752177,-0.6994058526617309,-1.213934457288018,1925,1625,125,0
19,62,Medium,Medium,No,5,90,Low,Yes,2,Low,High,Public,Positive,3,No,College,Moderate,Male,64,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,0,0,2,Medium,Poor,Low Sleep,-0.16282241129609587,-1.5569471993157984,-1.3821849342223185,1.0368626593227803,0.41145108517868284,1178,1710,57,38
20,81,High,Medium,Yes,4,55,Medium,Yes,1,High,Medium,Private,Positive,2,No,Postgraduate,Moderate,Male,68,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2,1,1,2,1,Medium,Average,Low Sleep,0.0041185681317912485,0.08855868794949777,-2.0633796127548307,-1.3939132574555355,-0.40124168605466753,1620,1100,40,20
14,80,High,Medium,Yes,5,81,Medium,Yes,1,Low,Medium,Public,Positive,4,No,Postgraduate,Far,Female,67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,0,1,Medium,Average,Low Sleep,-0.9975273084355315,0.0019531149355348125,-1.3821849342223185,0.41180599500835624,-0.40124168605466753,1120,1134,56,14
20,66,Medium,Medium,No,6,90,High,Yes,0,Medium,Medium,Public,Neutral,1,No,College,Near,Female,64,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,2,1,1,Medium,Poor,Normal Sleep,0.0041185681317912485,-1.2105249072599464,-0.7009902556898064,1.0368626593227803,-1.213934457288018,1320,1800,20,0
18,64,Medium,Medium,Yes,6,83,High,Yes,2,Low,Medium,Public,Positive,2,No,College,Near,Male,65,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,2,0,1,Medium,Poor,Normal Sleep,-0.329763390723983,-1.3837360532878724,-0.7009902556898064,0.5507074759671171,0.41145108517868284,1152,1494,36,36
22,65,Low,High,Yes,6,85,Medium,Yes,2,High,Medium,Public,Positive,3,Yes,Postgraduate,Near,Female,66,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,2,1,2,1,High,Poor,Normal Sleep,0.3380005269875655,-1.2971304802739094,-0.7009902556898064,0.6896089569258781,0.41145108517868284,1430,1870,66,44
15,64,Medium,Medium,Yes,6,76,High,Yes,2,Medium,Medium,Private,Positive,4,Yes,High School,Unknown,Female,63,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,2,1,1,Medium,Poor,Normal Sleep,-0.8305863290076444,-1.3837360532878724,-0.7009902556898064,0.06455229261145401,0.41145108517868284,960,1140,60,30
23,84,High,Medium,Yes,6,78,Low,Yes,2,Low,Low,Public,Negative,2,No,High School,Moderate,Female,68,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1,0,0,0,High,Average,Normal Sleep,0.5049415064154527,0.34837540699138664,-0.7009902556898064,0.2034537735702149,0.41145108517868284,1932,1794,46,46
29,68,Medium,High,Yes,4,53,Medium,Yes,1,Medium,Medium,Private,Negative,4,No,High School,Far,Male,66,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2,1,1,1,High,Poor,Low Sleep,1.5065873829827754,-1.0373137612320207,-2.0633796127548307,-1.5328147384142963,-0.40124168605466753,1972,1537,116,29
19,70,Medium,Medium,No,7,63,Low,No,3,Low,Low,Public,Neutral,5,No,High School,Near,Male,63,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1,1,0,0,0,Medium,Poor,Normal Sleep,-0.16282241129609587,-0.8641026152040947,-0.01979557715729433,-0.8383073336204918,1.2241438564120333,1330,1197,95,57
22,67,Low,Medium,No,7,86,Low,Yes,1,Low,Medium,Public,Positive,3,No,High School,Moderate,Female,63,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1,0,0,1,High,Poor,Normal Sleep,0.3380005269875655,-1.1239193342459837,-0.01979557715729433,0.7590596974052585,-0.40124168605466753,1474,1892,66,22
24,98,High,Medium,Yes,6,97,Medium,Yes,1,Medium,Medium,Public,Positive,4,No,College,Far,Male,74,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,1,1,1,1,High,Good,Normal Sleep,0.6718824858433398,1.5608534291868679,-0.7009902556898064,1.5230178426784435,-0.40124168605466753,2352,2328,96,24
18,94,Medium,High,Yes,9,77,Low,Yes,1,Medium,High,Public,Positive,2,No,College,Moderate,Male,70,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,2,0,1,2,Medium,Good,Healthy Sleep,-0.329763390723983,1.2144311371310161,1.3425937799077299,0.13400303309083447,-0.40124168605466753,1692,1386,36,18
21,69,High,High,Yes,7,86,Medium,Yes,2,Low,Medium,Private,Neutral,3,No,High School,Near,Male,68,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2,2,1,0,1,High,Poor,Normal Sleep,0.17105954755967837,-0.9507081882180577,-0.01979557715729433,0.7590596974052585,0.41145108517868284,1449,1806,63,42
20,73,Medium,Medium,Yes,7,84,Medium,Yes,0,Medium,Medium,Public,Neutral,4,No,Postgraduate,Moderate,Female,66,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,1,Medium,Average,Normal Sleep,0.0041185681317912485,-0.6042858961622058,-0.01979557715729433,0.6201582164464976,-1.213934457288018,1460,1680,80,0
21,68,Medium,Low,No,8,100,Low,Yes,0,Medium,Medium,Public,Positive,4,No,High School,Far,Male,63,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0,0,1,1,High,Poor,Healthy Sleep,0.17105954755967837,-1.0373137612320207,0.6613991013752177,1.7313700641165848,-1.213934457288018,1428,2100,84,0
15,80,Low,High,No,5,90,Medium,Yes,4,Low,Medium,Public,Positive,3,No,College,Far,Female,67,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,2,1,0,1,Medium,Average,Low Sleep,-0.8305863290076444,0.0019531149355348125,-1.3821849342223185,1.0368626593227803,2.0368366276453838,1200,1350,45,60
20,61,Medium,Medium,No,7,81,Medium,Yes,1,Medium,Low,Public,Neutral,3,No,High School,Moderate,Male,62,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,1,1,0,Medium,Poor,Normal Sleep,0.0041185681317912485,-1.6435527723297614,-0.01979557715729433,0.41180599500835624,-0.40124168605466753,1220,1620,60,20
23,87,High,High,No,8,56,Medium,Yes,1,Medium,High,Public,Positive,3,No,Postgraduate,Moderate,Male,71,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2,2,1,1,2,High,Good,Healthy Sleep,0.5049415064154527,0.6081921260332754,0.6613991013752177,-1.324462516976155,-0.40124168605466753,2001,1288,69,23
29,81,High,Medium,No,7,68,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,72,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,1,1,1,High,Average,Normal Sleep,1.5065873829827754,0.08855868794949777,-0.01979557715729433,-0.4910536312235896,0.41145108517868284,2349,1972,116,58
26,96,Medium,Medium,Yes,5,63,Medium,No,1,High,Medium,Private,Positive,2,No,Postgraduate,Near,Male,72,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1,1,2,1,High,Good,Low Sleep,1.005764444699114,1.3876422831589421,-1.3821849342223185,-0.8383073336204918,-0.40124168605466753,2496,1638,52,26
33,67,Medium,Medium,Yes,6,93,High,Yes,0,Low,High,Public,Neutral,3,No,High School,Far,Female,68,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1,1,2,0,2,High,Poor,Normal Sleep,2.174351300694324,-1.1239193342459837,-0.7009902556898064,1.2452148807609216,-1.213934457288018,2211,3069,99,0
15,92,Medium,Low,Yes,7,72,Low,Yes,1,Medium,Medium,Public,Negative,5,No,High School,Near,Female,66,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,0,0,1,1,Medium,Good,Normal Sleep,-0.8305863290076444,1.0412199911030902,-0.01979557715729433,-0.21325066930606779,-0.40124168605466753,1380,1080,75,15
25,92,Medium,Medium,No,4,77,Medium,Yes,0,Low,Medium,Public,Positive,3,No,High School,Near,Male,70,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,1,1,0,1,High,Good,Low Sleep,0.8388234652712269,1.0412199911030902,-2.0633796127548307,0.13400303309083447,-1.213934457288018,2300,1925,75,0
21,65,Medium,Low,Yes,5,98,High,No,2,Low,Medium,Private,Positive,4,No,Postgraduate,Near,Male,66,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,2,0,1,High,Poor,Low Sleep,0.17105954755967837,-1.2971304802739094,-1.3821849342223185,1.5924685831578238,0.41145108517868284,1365,2058,84,42
33,76,Medium,Medium,Yes,10,92,Low,Yes,1,High,Medium,Private,Positive,3,No,Postgraduate,Near,Female,72,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1,0,2,1,High,Average,Healthy Sleep,2.174351300694324,-0.344469177120317,2.023788458440242,1.175764140281541,-0.40124168605466753,2508,3036,99,33
15,67,High,Medium,Yes,8,89,Low,Yes,0,High,High,Public,Neutral,4,No,High School,Moderate,Female,64,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2,1,0,2,2,Medium,Poor,Healthy Sleep,-0.8305863290076444,-1.1239193342459837,0.6613991013752177,0.9674119188433998,-1.213934457288018,1005,1335,60,0
15,70,High,Medium,No,9,57,Medium,Yes,1,Medium,Medium,Private,Negative,3,No,High School,Unknown,Female,63,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2,1,1,1,1,Medium,Poor,Healthy Sleep,-0.8305863290076444,-0.8641026152040947,1.3425937799077299,-1.2550117764967745,-0.40124168605466753,1050,855,45,15
