item_identifier,item_weight,item_fat_content,item_visibility,item_type,item_mrp,outlet_identifier,outlet_establishment_year,outlet_size,outlet_location_type,outlet_type
NCM29,11.5,Low Fat,0.017669658,Health and Hygiene,129.86,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDG46,8.63,Regular,0.033043717,Snack Foods,112.85,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRC01,5.92,Regular,0.03213687,Soft Drinks,49.17,OUT010,1998,Unknown,Tier 3,Grocery Store
FDB15,10.895,Low Fat,0.13614823,Dairy,263.26,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCA17,20.6,Low Fat,0.045198261,Health and Hygiene,150.24,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDF10,15.5,Regular,0.156928379,Snack Foods,148.24,OUT046,1997,Small,Tier 1,Supermarket Type1
FDR26,20.7,Low Fat,0.042629339,Dairy,178.7,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDI02,15.7,Regular,0.114743211,Canned,112.12,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCM54,17.7,Low Fat,0.085261544,Household,127.77,OUT010,1998,Unknown,Tier 3,Grocery Store
FDF14,7.55,Low Fat,0.027147206,Canned,151.13,OUT013,1987,High,Tier 3,Supermarket Type1
FDJ33,8.895,Regular,0.14783322,Snack Foods,121.27,OUT010,1998,Unknown,Tier 3,Grocery Store
FDM20,10,Low Fat,0.038678487,Fruits and Vegetables,245.71,OUT035,2004,Small,Tier 2,Supermarket Type1
FDC03,8.575,Regular,0.071498575,Dairy,195.78,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCX05,15.2,Low Fat,0.097062093,Health and Hygiene,116.65,OUT046,1997,Small,Tier 1,Supermarket Type1
NCM41,16.5,Low Fat,0.035483325,Health and Hygiene,91.91,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCU29,7.685,Low Fat,0.042644024,Health and Hygiene,147.88,OUT010,1998,Unknown,Tier 3,Grocery Store
FDQ59,9.8,Regular,0.056705486,Breads,83.49,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDH46,6.935,Regular,0.069098084,Snack Foods,101.63,OUT010,1998,Unknown,Tier 3,Grocery Store
FDH09,12.6,Low Fat,0.056030907,Seafood,50.8,OUT013,1987,High,Tier 3,Supermarket Type1
NCD06,13,Low Fat,0.099526713,Household,46.71,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDC15,18.1,Low Fat,0.177935403,Dairy,155.63,OUT035,2004,Small,Tier 2,Supermarket Type1
DRD37,9.8,Low Fat,0.013774708,Soft Drinks,45.11,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDT28,13.3,Low Fat,0.063258348,Frozen Foods,149.37,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDR28,13.85,Regular,0.02577108,Frozen Foods,163.62,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDT38,18.7,Low Fat,0.0578629,Dairy,86.26,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDV34,10.695,Regular,0.01137013,Snack Foods,75.2,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDY52,6.365,Low Fat,0,Frozen Foods,62.55,OUT035,2004,Small,Tier 2,Supermarket Type1
FDB34,15.25,Low Fat,0.026587669,Snack Foods,85.92,OUT013,1987,High,Tier 3,Supermarket Type1
DRL23,18.35,Low Fat,0.015366655,Hard Drinks,105.59,OUT018,2009,Medium,Tier 3,Supermarket Type2
DRB24,8.785,Low Fat,0.020577225,Soft Drinks,154.27,OUT046,1997,Small,Tier 1,Supermarket Type1
FDJ50,8.645,Low Fat,0.021586004,Canned,53.8,OUT046,1997,Small,Tier 1,Supermarket Type1
FDQ49,20.2,Regular,0.039240315,Breakfast,154.46,OUT035,2004,Small,Tier 2,Supermarket Type1
FDP20,19.85,Low Fat,0.045660601,Fruits and Vegetables,124.5,OUT035,2004,Small,Tier 2,Supermarket Type1
FDV19,14.85,Regular,0.035086303,Fruits and Vegetables,159.16,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCR54,16.35,Low Fat,0.090745855,Household,196.41,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDO09,13.5,Regular,0.209684121,Snack Foods,261.19,OUT010,1998,Unknown,Tier 3,Grocery Store
FDS57,15.5,Low Fat,0.103863648,Snack Foods,143.15,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDN10,11.5,Low Fat,0.046195515,Snack Foods,117.41,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDV23,11,Low Fat,0.106001313,Breads,125.5,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY28,7.47,Regular,0.152387525,Frozen Foods,214.32,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRG51,12.1,Low Fat,0.011530019,Dairy,162.45,OUT013,1987,High,Tier 3,Supermarket Type1
FDD45,8.615,Low Fat,0.203536932,Fruits and Vegetables,93.24,OUT019,1985,Small,Tier 1,Grocery Store
NCL18,18.85,Low Fat,0.166772358,Household,193.01,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCM29,11.5,Low Fat,0.017627547,Health and Hygiene,130.46,OUT013,1987,High,Tier 3,Supermarket Type1
FDF17,5.19,Low Fat,0.042414494,Frozen Foods,196.31,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDE22,9.695,Low Fat,0.029740086,Snack Foods,161.39,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDQ22,16.75,Low Fat,0.029907872,Snack Foods,37.48,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDS01,11.6,Low Fat,0.017730232,Canned,179.67,OUT013,1987,High,Tier 3,Supermarket Type1
FDW35,10.6,Low Fat,0.011035524,Breads,42.15,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDJ33,8.895,Regular,0.088322179,Snack Foods,124.27,OUT046,1997,Small,Tier 1,Supermarket Type1
NCF54,18,Low Fat,0.047368095,Household,171.74,OUT035,2004,Small,Tier 2,Supermarket Type1
FDE09,8.775,Low Fat,0.021585405,Fruits and Vegetables,109.92,OUT013,1987,High,Tier 3,Supermarket Type1
NCE06,5.825,Low Fat,0.091670767,Household,161.39,OUT045,2002,Unknown,Tier 2,Supermarket Type1
DRH49,19.7,Low Fat,0.024693927,Soft Drinks,80.76,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY43,14.85,Low Fat,0.098601801,Fruits and Vegetables,170.35,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCT05,10.895,Low Fat,0.021070361,Health and Hygiene,254.67,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDZ34,6.695,Low Fat,0.076032402,Starchy Foods,191.78,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDL38,13.8,Regular,0.014816444,Canned,87.52,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDZ31,15.35,Regular,0.113857626,Fruits and Vegetables,190.25,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDR14,11.65,Low Fat,0.174016121,Dairy,55.93,OUT035,2004,Small,Tier 2,Supermarket Type1
NCN54,20.35,Low Fat,0.021359628,Household,78.73,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCC42,15,Low Fat,0.044690933,Health and Hygiene,139.68,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK08,9.195,Regular,0,Fruits and Vegetables,99.9,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDP59,20.85,Regular,0.056418725,Breads,105.76,OUT013,1987,High,Tier 3,Supermarket Type1
FDV22,14.85,Regular,0.009936905,Snack Foods,156.96,OUT035,2004,Small,Tier 2,Supermarket Type1
FDD33,12.85,Low Fat,0.108172183,Fruits and Vegetables,234.26,OUT035,2004,Small,Tier 2,Supermarket Type1
DRE60,9.395,Low Fat,0.158562878,Soft Drinks,227.37,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK52,18.25,Low Fat,0.079218842,Frozen Foods,227.01,OUT046,1997,Small,Tier 1,Supermarket Type1
FDA02,14,Regular,0.029890782,Dairy,146.38,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDM56,16.7,Low Fat,0.070300718,Fruits and Vegetables,109.39,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDE57,9.6,Low Fat,0.036278264,Fruits and Vegetables,141.42,OUT035,2004,Small,Tier 2,Supermarket Type1
FDM32,20.5,Low Fat,0.02064682,Fruits and Vegetables,88.78,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCQ30,7.725,Low Fat,0.028931499,Household,121.54,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDQ27,5.19,Regular,0,Meat,104.8,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDT60,12,Low Fat,0.075182464,Baking Goods,124.84,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU43,19.35,Regular,0.058133621,Fruits and Vegetables,240.36,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCO55,12.8,Low Fat,0.091020015,Others,106.69,OUT035,2004,Small,Tier 2,Supermarket Type1
FDG02,7.855,Low Fat,0.011284003,Canned,190.82,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDJ28,12.3,Low Fat,0.021842793,Frozen Foods,190.72,OUT013,1987,High,Tier 3,Supermarket Type1
FDP40,4.555,Regular,0.034426846,Frozen Foods,111.75,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDJ38,8.6,Regular,0.040287073,Canned,190.55,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCC54,17.75,Low Fat,0.098263617,Health and Hygiene,241.82,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCZ41,19.85,Low Fat,0.064421237,Health and Hygiene,125.47,OUT046,1997,Small,Tier 1,Supermarket Type1
FDK38,6.65,Low Fat,0,Canned,148.37,OUT019,1985,Small,Tier 1,Grocery Store
FDU52,7.56,Low Fat,0.063717792,Frozen Foods,155.16,OUT013,1987,High,Tier 3,Supermarket Type1
FDC40,16,Regular,0.065063889,Dairy,76.3,OUT046,1997,Small,Tier 1,Supermarket Type1
NCR30,20.6,Low Fat,0.071394538,Household,74.47,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCN18,8.895,Low Fat,0.125420107,Household,111.75,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDB50,13,Low Fat,0.153589518,Canned,78.5,OUT035,2004,Small,Tier 2,Supermarket Type1
FDG04,13.1,low fat,0.006057667,Frozen Foods,188.09,OUT013,1987,High,Tier 3,Supermarket Type1
FDR26,20.7,Low Fat,0.042828678,Dairy,177.3,OUT035,2004,Small,Tier 2,Supermarket Type1
NCT17,10.8,Low Fat,0.042036392,Health and Hygiene,188.42,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDX35,5.035,Regular,0.079523572,Breads,226.9,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS12,9.1,Low Fat,0.174118549,Baking Goods,127.44,OUT046,1997,Small,Tier 1,Supermarket Type1
NCZ29,15,Low Fat,0.071025838,Health and Hygiene,125.84,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDB38,19.5,Regular,0.045772769,Canned,161.39,OUT010,1998,Unknown,Tier 3,Grocery Store
FDP12,9.8,Regular,0.045229136,Baking Goods,37.19,OUT013,1987,High,Tier 3,Supermarket Type1
FDP22,14.65,Regular,0.099132174,Snack Foods,51.67,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS26,20.35,Low Fat,0.08983368,Dairy,261.06,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDR52,12.65,Regular,0.076044589,Frozen Foods,191.98,OUT046,1997,Small,Tier 1,Supermarket Type1
DRJ13,12.65,Low Fat,0.062890304,Soft Drinks,161.26,OUT046,1997,Small,Tier 1,Supermarket Type1
FDU48,18.85,Low Fat,0.055090377,Baking Goods,130.73,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDE29,8.905,Low Fat,0.14310206,Frozen Foods,60.59,OUT035,2004,Small,Tier 2,Supermarket Type1
NCT29,12.6,Low Fat,0.0642104,Health and Hygiene,121.74,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRK37,5,Low Fat,0.044183931,Soft Drinks,188.65,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDK55,18.5,Low Fat,0.025761698,Meat,87.62,OUT046,1997,Small,Tier 1,Supermarket Type1
FDR07,21.35,Low Fat,0.077743909,Fruits and Vegetables,96.11,OUT046,1997,Small,Tier 1,Supermarket Type1
FDO21,11.6,Regular,0.009715743,Snack Foods,224.74,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDK46,9.6,Low Fat,0.051547413,Snack Foods,260.66,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDB12,11.15,Regular,0.105521226,Baking Goods,104.56,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDT31,19.75,low fat,0.012388013,Fruits and Vegetables,188.89,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDJ33,8.895,Regular,0.088501299,Snack Foods,124.37,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDC26,10.195,Low Fat,0.125771078,Canned,109.79,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCQ02,12.6,Low Fat,0.007471585,Household,188.16,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDP08,20.5,Regular,0.188151371,Fruits and Vegetables,193.45,OUT010,1998,Unknown,Tier 3,Grocery Store
FDB11,16,Low Fat,0.06055337,Starchy Foods,225.94,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDV55,17.75,Low Fat,0.055027599,Fruits and Vegetables,146.24,OUT013,1987,High,Tier 3,Supermarket Type1
FDW20,20.75,Low Fat,0.024186975,Fruits and Vegetables,121.57,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCJ18,12.35,Low Fat,0.28704117,Household,120.51,OUT019,1985,Small,Tier 1,Grocery Store
FDC41,15.6,Low Fat,0.1173895,Frozen Foods,75.57,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDE14,13.65,Regular,0.031292877,Canned,101.37,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDG35,21.2,Regular,0.00703512,Starchy Foods,175.57,OUT013,1987,High,Tier 3,Supermarket Type1
FDF45,18.2,Regular,0.012202405,Fruits and Vegetables,57.39,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS19,13.8,Regular,0.063896351,Fruits and Vegetables,77.5,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS58,9.285,Regular,0.036779867,Snack Foods,159.16,OUT019,1985,Small,Tier 1,Grocery Store
FDA26,7.855,Regular,0.074338562,Dairy,220.45,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDM32,20.5,Low Fat,0.020637068,Fruits and Vegetables,87.88,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDL45,15.6,Low Fat,0.037687837,Snack Foods,126.47,OUT046,1997,Small,Tier 1,Supermarket Type1
FDZ55,6.055,Low Fat,0.025448206,Fruits and Vegetables,159.69,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDY37,17,Regular,0.026610182,Canned,141.55,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDO46,9.6,Regular,0.014212498,Snack Foods,190.89,OUT046,1997,Small,Tier 1,Supermarket Type1
FDQ60,6.195,Regular,0.109374441,Baking Goods,119.61,OUT046,1997,Small,Tier 1,Supermarket Type1
FDA19,7.52,Low Fat,0.055352065,Fruits and Vegetables,130.2,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDL15,17.85,Low Fat,0.046634759,Meat,154.27,OUT046,1997,Small,Tier 1,Supermarket Type1
FDM10,18.25,Low Fat,0.076281071,Snack Foods,213.02,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCL05,19.6,Low Fat,0.048168592,Health and Hygiene,42.68,OUT017,2007,Unknown,Tier 2,Supermarket Type1
DRK49,14.15,Low Fat,0.060162413,Soft Drinks,42.01,OUT010,1998,Unknown,Tier 3,Grocery Store
NCE18,10,Low Fat,0.021321588,Household,251.38,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDG40,13.65,Low Fat,0.039886263,Frozen Foods,34.36,OUT049,1999,Medium,Tier 1,Supermarket Type1
DRI59,9.5,Low Fat,0.040917483,Hard Drinks,222.01,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDK28,5.695,Low Fat,0.065577504,Frozen Foods,256.26,OUT035,2004,Small,Tier 2,Supermarket Type1
NCD06,13,Low Fat,0.173905741,Household,46.21,OUT019,1985,Small,Tier 1,Grocery Store
FDO11,8,Regular,0.052989927,Breads,250.31,OUT019,1985,Small,Tier 1,Grocery Store
FDK27,11,Low Fat,0.008946536,Meat,119.48,OUT046,1997,Small,Tier 1,Supermarket Type1
FDT43,16.35,Low Fat,0.020448446,Fruits and Vegetables,50.23,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD38,16.75,Regular,0.008225098,Canned,102.17,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDA16,6.695,Low Fat,0.033994765,Frozen Foods,219.85,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDL14,8.115,Regular,0.032003136,Canned,154,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCM17,7.93,Low Fat,0.071246467,Health and Hygiene,43.81,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDD20,14.15,Low Fat,0.020756532,Fruits and Vegetables,123.9,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDA40,16,Regular,0,Frozen Foods,88.39,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDL43,10.1,Low Fat,0.027119268,Meat,77.77,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDV15,10.3,Low Fat,0.146468894,Meat,102.66,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDE52,10.395,Regular,0.029886798,Dairy,89.55,OUT046,1997,Small,Tier 1,Supermarket Type1
NCL17,7.39,Low Fat,0.113449342,Health and Hygiene,143.78,OUT010,1998,Unknown,Tier 3,Grocery Store
NCJ31,19.2,Low Fat,0.183024199,Others,239.32,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDR60,14.3,Low Fat,0.130679603,Baking Goods,78.43,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCA18,10.1,Low Fat,0.05606697,Household,115.65,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS21,19.85,Regular,0.020775058,Snack Foods,63.22,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDW09,13.65,Regular,0.025915914,Snack Foods,78.33,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL26,18,Low Fat,0,Canned,154.4,OUT035,2004,Small,Tier 2,Supermarket Type1
FDS47,16.75,Low Fat,0.129410755,Breads,89.09,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDC39,7.405,Low Fat,0.159195426,Dairy,206.43,OUT046,1997,Small,Tier 1,Supermarket Type1
FDT51,11.65,Regular,0.010916726,Meat,111.15,OUT035,2004,Small,Tier 2,Supermarket Type1
FDK40,7.035,Low Fat,0.021845267,Frozen Foods,263.09,OUT035,2004,Small,Tier 2,Supermarket Type1
NCG19,20.25,Low Fat,0.14823358,Household,235.76,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDZ07,15.1,Regular,0.093891315,Fruits and Vegetables,62.02,OUT046,1997,Small,Tier 1,Supermarket Type1
FDF08,14.3,Regular,0.064891788,Fruits and Vegetables,88.89,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDO04,16.6,Low Fat,0.026515122,Frozen Foods,55.26,OUT013,1987,High,Tier 3,Supermarket Type1
FDK41,14.3,Low Fat,0.128061273,Frozen Foods,83.32,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDP15,15.2,Low Fat,0.084073075,Meat,255.53,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCD43,8.85,Low Fat,0.016085216,Household,104.7,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCP18,12.15,Low Fat,0.028574451,Household,148.87,OUT013,1987,High,Tier 3,Supermarket Type1
FDZ51,11.3,Regular,0,Meat,93.31,OUT046,1997,Small,Tier 1,Supermarket Type1
DRH13,8.575,Low Fat,0.02388144,Soft Drinks,108.43,OUT035,2004,Small,Tier 2,Supermarket Type1
FDF38,11.8,Regular,0.026411459,Canned,40.11,OUT045,2002,Unknown,Tier 2,Supermarket Type1
NCI43,19.85,Low Fat,0.026021371,Household,49.24,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDM38,5.885,Regular,0.092322059,Canned,54.4,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDS03,7.825,Low Fat,0.079562345,Meat,64.78,OUT013,1987,High,Tier 3,Supermarket Type1
DRJ47,18.25,Low Fat,0.044500601,Hard Drinks,171.41,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDT50,6.75,Regular,0.181169873,Dairy,97.38,OUT010,1998,Unknown,Tier 3,Grocery Store
FDV02,16.75,Low Fat,0.060545628,Dairy,172.51,OUT046,1997,Small,Tier 1,Supermarket Type1
NCG18,15.3,low fat,0.023107874,Household,103.83,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDW52,14,Regular,0.03752254,Frozen Foods,164.65,OUT046,1997,Small,Tier 1,Supermarket Type1
FDS40,15.35,Low Fat,0.014016743,Frozen Foods,36.02,OUT035,2004,Small,Tier 2,Supermarket Type1
FDN31,11.5,low fat,0.073293783,Fruits and Vegetables,191.05,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDA37,7.81,Regular,0.055338756,Canned,123.1,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDA15,9.3,Low Fat,0.01602239,Dairy,249.91,OUT046,1997,Small,Tier 1,Supermarket Type1
FDL39,16.1,Regular,0.063331355,Dairy,181.13,OUT046,1997,Small,Tier 1,Supermarket Type1
FDJ53,10.5,Low Fat,0.071402425,Frozen Foods,122.01,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDX22,6.785,Regular,0.022955693,Snack Foods,210.59,OUT013,1987,High,Tier 3,Supermarket Type1
NCZ42,10.5,Low Fat,0.011310821,Household,238.72,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDD56,15.2,Regular,0.10327572,Fruits and Vegetables,176.21,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDD40,20.25,Regular,0.014877034,Dairy,193.52,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDS50,17,Low Fat,0.055387247,Dairy,220.61,OUT013,1987,High,Tier 3,Supermarket Type1
NCN14,19.1,Low Fat,0,Others,184.46,OUT013,1987,High,Tier 3,Supermarket Type1
FDT15,12.15,Regular,0.042646003,Meat,183.3,OUT013,1987,High,Tier 3,Supermarket Type1
NCS18,12.65,Low Fat,0.04200671,Household,108.09,OUT027,1985,Medium,Tier 3,Supermarket Type3
NCO26,7.235,Low Fat,0.128640565,Household,114.65,OUT010,1998,Unknown,Tier 3,Grocery Store
FDF58,13.3,Low Fat,0.009620184,Snack Foods,61.45,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCB19,6.525,Low Fat,0.090220566,Household,86.49,OUT013,1987,High,Tier 3,Supermarket Type1
FDH26,19.25,Regular,0.034896013,Canned,141.05,OUT017,2007,Unknown,Tier 2,Supermarket Type1
DRB24,8.785,Low Fat,0.020477579,Soft Drinks,152.87,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDA49,19.7,Low Fat,0.065186228,Canned,86.32,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDB32,20.6,Low Fat,0.023500502,Fruits and Vegetables,95.58,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDI36,12.5,Regular,0,Baking Goods,196.74,OUT017,2007,Unknown,Tier 2,Supermarket Type1
NCA17,20.6,Low Fat,0.076020756,Health and Hygiene,149.34,OUT010,1998,Unknown,Tier 3,Grocery Store
FDH22,6.405,Low Fat,0.13618752,Snack Foods,125.17,OUT013,1987,High,Tier 3,Supermarket Type1
NCM26,20.5,Low Fat,0,Others,153.33,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDT15,12.15,Regular,0.042474835,Meat,183.3,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDB16,8.21,Low Fat,0.045108792,Dairy,87.02,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCP54,15.35,Low Fat,0.034979457,Household,123.47,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDJ36,14.5,Regular,0.128153336,Baking Goods,102.33,OUT013,1987,High,Tier 3,Supermarket Type1
FDO28,5.765,Low Fat,0.072444983,Frozen Foods,119.71,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDU09,7.71,Regular,0.066541719,Snack Foods,54.3,OUT013,1987,High,Tier 3,Supermarket Type1
FDF29,15.1,Regular,0.020046943,Frozen Foods,128.83,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDY08,9.395,Regular,0.170932857,Fruits and Vegetables,140.58,OUT013,1987,High,Tier 3,Supermarket Type1
DRJ59,11.65,Low Fat,0.019451167,Hard Drinks,37.02,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDT23,7.72,Regular,0.074369587,Breads,79.4,OUT027,1985,Medium,Tier 3,Supermarket Type3
FDU15,13.65,Regular,0.026710454,Meat,37.85,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDT47,5.26,Regular,0.024488439,Breads,96.81,OUT013,1987,High,Tier 3,Supermarket Type1
FDI53,8.895,Regular,0,Frozen Foods,162.82,OUT019,1985,Small,Tier 1,Grocery Store
FDR59,14.5,Regular,0.064123704,Breads,262.36,OUT018,2009,Medium,Tier 3,Supermarket Type2
FDD53,16.2,Low Fat,0.044214135,Frozen Foods,40.45,OUT035,2004,Small,Tier 2,Supermarket Type1
FDY51,12.5,Low Fat,0.081593757,Meat,219.88,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDT04,17.25,Low Fat,0.107208159,Frozen Foods,37.98,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDU51,20.2,Regular,0.096663729,Meat,176.9,OUT049,1999,Medium,Tier 1,Supermarket Type1
FDG14,9,Regular,0.050491164,Canned,151.7,OUT035,2004,Small,Tier 2,Supermarket Type1
NCU06,17.6,Low Fat,0.074557961,Household,231,OUT045,2002,Unknown,Tier 2,Supermarket Type1
DRG25,10.5,Low Fat,0.019049691,Soft Drinks,186.02,OUT046,1997,Small,Tier 1,Supermarket Type1
DRH49,19.7,Low Fat,0.024650932,Soft Drinks,83.66,OUT035,2004,Small,Tier 2,Supermarket Type1
FDN15,17.5,Low Fat,0.016730894,Meat,139.02,OUT035,2004,Small,Tier 2,Supermarket Type1
FDL43,10.1,Low Fat,0.02717463,Meat,76.27,OUT018,2009,Medium,Tier 3,Supermarket Type2
NCT18,14.6,Low Fat,0.059497511,Household,182.5,OUT049,1999,Medium,Tier 1,Supermarket Type1
NCB31,6.235,Low Fat,0.118575601,Household,260.99,OUT013,1987,High,Tier 3,Supermarket Type1
FDK57,10.195,Low Fat,0.080277707,Snack Foods,119.14,OUT035,2004,Small,Tier 2,Supermarket Type1
FDY04,17.7,Regular,0.074370772,Frozen Foods,162.92,OUT019,1985,Small,Tier 1,Grocery Store
NCP54,15.35,Low Fat,0.03514967,Household,121.67,OUT046,1997,Small,Tier 1,Supermarket Type1
FDF41,12.15,Low Fat,0.131070648,Frozen Foods,244.35,OUT013,1987,High,Tier 3,Supermarket Type1
FDM01,7.895,Regular,0,Breakfast,102.43,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDW03,5.63,Regular,0.024591047,Meat,104.33,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDF28,15.7,Regular,0.037941512,Frozen Foods,122.8,OUT045,2002,Unknown,Tier 2,Supermarket Type1
FDY37,17,Regular,0.026719159,Canned,142.05,OUT017,2007,Unknown,Tier 2,Supermarket Type1
FDQ03,15,Regular,0.078455536,Meat,237.32,OUT017,2007,Unknown,Tier 2,Supermarket Type1
